time,logger,level,database,threadid,message,exception
2016-10-20 13:58:53.0591,Raven.Database.DocumentDatabase,Debug,<system>,1,Start loading the following database: <system>,
2016-10-20 13:58:55.1017,Raven.Database.Impl.DocumentCacher,Info,<system>,1,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3170893824
  PollingInterval     = 00:02:00",
2016-10-20 13:58:55.1258,Raven.Database.Storage.Esent.StorageConfigurator,Info,<system>,1,"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2016-10-20 13:58:55.1258,Raven.Storage.Esent.TransactionalStorage,Info,<system>,1,"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2016-10-20 13:58:57.5187,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,1,Document with key 'Raven/Backup/Status' was not found,
2016-10-20 13:58:57.7316,Raven.Database.DocumentDatabase,Debug,,1,Finish loading the following database: <system>,
2016-10-20 13:58:57.8509,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,1,Document with key 'Raven/Counters/Enabled' was not found,
2016-10-20 13:58:57.8559,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,1,Document with key 'Raven/Authorization/WindowsSettings' was not found,
2016-10-20 13:58:57.8719,Raven.Database.Indexing.WorkContext,Debug,<system>,16,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2016-10-20 13:58:58.0370,Raven.Database.Indexing.IndexingExecuter,Debug,<system>,15,No tasks to execute were found!,
2016-10-20 13:58:58.0898,Raven.Database.Indexing.IndexingExecuter,Debug,<system>,15,"Executed 0 tasks, processed documents: 0, took 349ms",
2016-10-20 13:58:58.1067,Raven.Database.Indexing.WorkContext,Debug,<system>,15,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2016-10-20 13:59:22.9338,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,22,Request #  24: GET     -   794 ms -            - 200 - http://localhost:8080/databases?pageSize=1024&getAdditionalData=true,
2016-10-20 13:59:22.9338,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,23,Request #  25: GET     -   795 ms -            - 200 - http://localhost:8080/fs?pageSize=1024&getAdditionalData=true,
2016-10-20 13:59:22.9338,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,18,"Request #  26: GET     - 1,003 ms -            - 200 - http://localhost:8080/singleAuthToken",
2016-10-20 13:59:22.9338,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,20,Request #  27: GET     -   869 ms -            - 200 - http://localhost:8080/studio-tasks/server-configs,
2016-10-20 13:59:23.0483,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,24,Request #  29: GET     -    29 ms -            - 200 - http://localhost:8080/license/status,
2016-10-20 13:59:23.0684,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,24,Document with key 'Raven/Alerts' was not found,
2016-10-20 13:59:23.0684,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,24,Request #  30: GET     -     8 ms -            - 200 - http://localhost:8080/operation/alerts,
2016-10-20 13:59:23.1444,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,23,Document with key 'Raven/StudioConfig' was not found,
